position,suffix,player_slug,first_name,middle_name,last_name,draft_year,lane_agility_time,shuttle_run,three_quarter_sprint,standing_vertical_leap,max_vertical_leap,max_bench_press_repetitions,body_fat_pct,hand_length,hand_width,height_w_shoes,height_wo_shoes,standing_reach,weight_lbs,wingspan,hand_length_inches,hand_width_inches,height_w_shoes_inches,height_wo_shoes_inches,standing_reach_inches,wingspan_inches,player_name
pf,,tyler__cook__2019,tyler,,cook,2019.0,11.32,3.1,3.28,27.5,32.0,11.0,6.1,9.50,10.75,6' 8.75'',6' 7.25'',8' 10.5'',245.4,7' 0.5'',9.5,10.75,80.75,79.25,106.5,84.5,tyler cook
sg,,jarrett__culver__2019,jarrett,,culver,2019.0,,,,,,,5.0,8.25,8.50,6' 6.75'',6' 5.25'',8' 4.5'',194.2,6' 9.5'',8.25,8.5,78.75,77.25,100.5,81.5,jarrett culver
sg,,terence__davis__2019,terence,,davis,2019.0,10.69,2.96,3.28,29.5,34.0,13.0,4.1,9.25,10.75,6' 4.5'',6' 3'',8' 5'',192.4,6' 8.75'',9.25,10.75,76.5,75.0,101.0,80.75,terence davis
pg,,luguentz__dort__2019,luguentz,,dort,2019.0,10.79,3.13,3.22,32.5,38.0,14.0,5.0,8.50,9.00,6' 4.25'',6' 2.75'',8' 3.5'',222.2,6' 8.5'',8.5,9.0,76.25,74.75,99.5,80.5,luguentz dort
pg,,devon__dotson__2019,devon,,dotson,2019.0,10.63,2.8,3.04,30.0,38.5,7.0,5.9,8.25,9.50,6' 2'',6' 0'',7' 11.5'',178.6,6' 3.25'',8.25,9.5,74.0,72.0,95.5,75.25,devon dotson
pg,,carsen__edwards__2019,carsen,,edwards,2019.0,10.53,2.82,3.22,28.5,34.0,14.0,5.5,8.75,9.00,6' 0.25'',5' 10.75'',7' 10.5'',199.4,6' 6'',8.75,9.0,72.25,70.75,94.5,78.0,carsen edwards
c,,tacko__fall__2019,tacko,,fall,2019.0,13.01,3.46,3.78,22.0,26.5,8.0,6.8,10.50,10.50,7' 7'',7' 5.25'',10' 2.5'',288.8,8' 2.25'',10.5,10.5,91.0,89.25,122.5,98.25,tacko fall
c,,bruno__fernando__2019,bruno,,fernando,2019.0,11.29,3.05,3.21,29.5,33.5,13.0,5.4,9.25,10.00,6' 10.25'',6' 8.75'',9' 2'',237.0,7' 3.25'',9.25,10.0,82.25,80.75,110.0,87.25,bruno fernando
pf,,daniel__gafford__2019,daniel,,gafford,2019.0,11.61,3.19,3.25,32.5,36.5,5.0,5.9,9.25,9.25,6' 10.5'',6' 9.25'',9' 2'',237.6,7' 2.25'',9.25,9.25,82.5,81.25,110.0,86.25,daniel gafford
pg,,darius__garland__2019,darius,,garland,2019.0,,,,,,,,-,-,,,,,,,,,,,,darius garland
sg,,quentin__grimes__2019,quentin,,grimes,2019.0,10.83,3.28,3.2,27.5,36.0,6.0,8.4,8.25,10.00,6' 5.25'',6' 4'',8' 4.5'',209.6,6' 7.75'',8.25,10.0,77.25,76.0,100.5,79.75,quentin grimes
sg,,kyle__guy__2019,kyle,,guy,2019.0,10.48,3.07,3.27,30.5,36.5,4.0,5.7,8.00,8.75,6' 2.25'',6' 0.75'',7' 11.5'',167.8,6' 4.5'',8.0,8.75,74.25,72.75,95.5,76.5,kyle guy
pg,,jaylen__hands__2019,jaylen,,hands,2019.0,10.73,3.03,3.12,33.0,41.5,6.0,5.1,8.00,8.25,6' 3'',6' 1.5'',8' 1'',180.4,6' 5.5'',8.0,8.25,75.0,73.5,97.0,77.5,jaylen hands
pg,,jared__harper__2019,jared,,harper,2019.0,10.77,3.02,3.04,33.5,40.5,8.0,3.9,8.25,9.50,5' 11'',5' 9.75'',7' 10'',169.2,6' 5.5'',8.25,9.5,71.0,69.75,94.0,77.5,jared harper
pf,,jaxson__hayes__2019,jaxson,,hayes,2019.0,11.74,3.23,3.37,27.0,34.5,5.0,5.0,9.25,10.50,6' 11.5'',6' 10.25'',9' 2.5'',218.6,7' 3.5'',9.25,10.5,83.5,82.25,110.5,87.5,jaxson hayes
c,,dewan__hernandez__2019,dewan,,hernandez,2019.0,11.46,3.25,3.28,30.5,35.5,13.0,6.1,9.50,10.25,6' 10.25'',6' 9'',8' 11'',232.8,7' 1.75'',9.5,10.25,82.25,81.0,107.0,85.75,dewan hernandez
sg,,tyler__herro__2019,tyler,,herro,2019.0,,,,,,,7.1,8.00,8.75,6' 6'',6' 4.5'',8' 4.5'',192.4,6' 3.25'',8.0,8.75,78.0,76.5,100.5,75.25,tyler herro
pf,,jalen__hoard__2019,jalen,,hoard,2019.0,11.44,3.32,3.34,27.5,35.5,8.0,6.7,8.75,9.75,6' 9'',6' 7.25'',8' 9.5'',212.6,7' 0.75'',8.75,9.75,81.0,79.25,105.5,84.75,jalen hoard
sg,,talen__horton-tucker__2019,talen,,horton-tucker,2019.0,11.34,3.43,3.34,26.0,34.5,10.0,8.4,9.50,9.75,6' 4'',6' 2.5'',8' 7'',235.4,7' 1.25'',9.5,9.75,76.0,74.5,103.0,85.25,talen horton-tucker
,,de'andre__hunter__2019,de'andre,,hunter,2019.0,,,,,,,,-,-,,,,,,,,,,,,de'andre hunter
sf-pf,,daquan__jeffries__2019,daquan,,jeffries,2019.0,,,,,,,3.9,9.50,10.25,6' 5'',6' 4'',8' 8'',215.6,6' 11.25'',9.5,10.25,77.0,76.0,104.0,83.25,daquan jeffries
pg,,ty__jerome__2019,ty,,jerome,2019.0,11.21,3.12,3.4,26.0,31.5,2.0,6.5,8.25,9.50,6' 5.5'',6' 4.25'',8' 2'',194.4,6' 4'',8.25,9.5,77.5,76.25,98.0,76.0,ty jerome
sg,,keldon__johnson__2019,keldon,,johnson,2019.0,,,,,,,5.6,8.00,9.25,6' 6'',6' 4.75'',8' 8'',216.4,6' 9.25'',8.0,9.25,78.0,76.75,104.0,81.25,keldon johnson
sg,,cameron__johnson__2019,cameron,,johnson,2019.0,10.52,3.28,3.26,30.5,36.5,,5.8,8.00,8.50,6' 8.5'',6' 7'',8' 7'',205.2,6' 10'',8.0,8.5,80.5,79.0,103.0,82.0,cameron johnson
pf,,mfiondu__kabengele__2019,mfiondu,,kabengele,2019.0,11.21,3.3,3.25,28.0,35.5,6.0,5.1,9.25,10.75,6' 10.25'',6' 8.75'',9' 1.5'',256.2,7' 3'',9.25,10.75,82.25,80.75,109.5,87.0,mfiondu kabengele
sf,,louis__king__2019,louis,,king,2019.0,10.99,3.05,3.28,29.0,33.0,,4.8,8.00,8.50,6' 8'',6' 6.75'',8' 8.5'',195.2,7' 0.25'',8.0,8.5,80.0,78.75,104.5,84.25,louis king
sg,,romeo__langford__2019,romeo,,langford,2019.0,,,,,,,,9.00,9.00,6' 6'',6' 4.5'',8' 7'',,6' 11'',9.0,9.0,78.0,76.5,103.0,83.0,romeo langford
pf,,dedric__lawson__2019,dedric,,lawson,2019.0,11.8,3.54,3.6,23.5,26.0,10.0,8.9,9.75,9.75,6' 8.5'',6' 7'',8' 11.5'',233.0,7' 2.25'',9.75,9.75,80.5,79.0,107.5,86.25,dedric lawson
pg,,jalen__lecque__2019,jalen,,lecque,2019.0,11.09,3.3,3.29,35.0,43.0,1.0,4.0,8.75,8.50,6' 4.25'',6' 2.5'',8' 2.5'',185.2,6' 8.5'',8.75,8.5,76.25,74.5,98.5,80.5,jalen lecque
sf,,nassir__little__2019,nassir,,little,2019.0,12.15,3.1,3.24,31.0,38.5,5.0,5.9,8.75,10.00,6' 6'',6' 4.5'',8' 8.5'',224.2,7' 1.25'',8.75,10.0,78.0,76.5,104.5,85.25,nassir little
sg-sf,,terance__mann__2019,terance,,mann,2019.0,11.51,3.14,3.3,32.5,38.5,6.0,4.0,9.50,9.25,6' 6.5'',6' 4.75'',8' 5'',204.6,6' 7.75'',9.5,9.25,78.5,76.75,101.0,79.75,terance mann
pg-sg,,cody__martin__2019,cody,,martin,2019.0,10.44,2.99,3.32,28.0,35.5,7.0,5.0,8.25,9.00,6' 5.5'',6' 4.75'',8' 6.5'',192.2,6' 10.25'',8.25,9.0,77.5,76.75,102.5,82.25,cody martin
sg,,charles__matthews__2019,charles,,matthews,2019.0,11.26,3.24,3.38,29.5,37.5,9.0,3.8,8.50,8.75,6' 6.25'',6' 5'',8' 7'',194.8,6' 9.5'',8.5,8.75,78.25,77.0,103.0,81.5,charles matthews
sf,,jalen__mcdaniels__2019,jalen,,mcdaniels,2019.0,11.54,3.23,3.32,29.5,33.5,,5.7,9.00,10.00,6' 9.75'',6' 8.25'',8' 9.5'',191.6,7' 0.25'',9.0,10.0,81.75,80.25,105.5,84.25,jalen mcdaniels
pg,,ja__morant__2019,ja,,morant,2019.0,,,,,,,,-,-,,,,,,,,,,,,ja morant
sg,jr,zach__norvell_jr_2019,zach,,norvell,2019.0,11.6,3.34,3.43,24.0,30.0,,7.5,8.50,9.50,6' 5.5'',6' 4.5'',8' 5'',206.4,6' 6'',8.5,9.5,77.5,76.5,101.0,78.0,zach norvell jr
sg,,jaylen__nowell__2019,jaylen,,nowell,2019.0,10.76,3.13,3.23,32.0,38.5,2.0,6.1,8.25,8.50,6' 4.25'',6' 3.25'',8' 2'',202.4,6' 7.25'',8.25,8.5,76.25,75.25,98.0,79.25,jaylen nowell
pf,,jordan__nwora__2019,jordan,,nwora,2019.0,,,,,,,7.8,8.50,9.25,6' 7.5'',6' 5.75'',8' 7'',220.0,6' 10.5'',8.5,9.25,79.5,77.75,103.0,82.5,jordan nwora
,,chuma__okeke__2019,chuma,,okeke,2019.0,,,,,,,,-,-,,,,,,,,,,,,chuma okeke
sf,,kz__okpala__2019,kz,,okpala,2019.0,10.88,3.13,3.38,30.5,37.0,9.0,4.6,9.25,9.25,6' 9.5'',6' 7.25'',8' 10.5'',209.6,7' 1.75'',9.25,9.25,81.5,79.25,106.5,85.75,kz okpala
sg,,miye__oni__2019,miye,,oni,2019.0,11.71,3.12,3.17,30.5,38.5,19.0,4.9,9.00,10.00,6' 5.75'',6' 4.25'',8' 4.5'',205.6,6' 10.75'',9.0,10.0,77.75,76.25,100.5,82.75,miye oni
sf,,eric__paschall__2019,eric,,paschall,2019.0,11.63,3.26,3.3,33.0,38.0,18.0,6.3,9.00,9.50,6' 7.25'',6' 6'',8' 7.5'',254.4,6' 11.75'',9.0,9.5,79.25,78.0,103.5,83.75,eric paschall
sf-pf,,reggie__perry__2019,reggie,,perry,2019.0,12.46,3.4,3.3,28.5,31.5,15.0,6.7,9.00,10.00,6' 9.25'',6' 8'',8' 10'',250.8,7' 0.5'',9.0,10.0,81.25,80.0,106.0,84.5,reggie perry
pg,,shamorie__ponds__2019,shamorie,,ponds,2019.0,11.01,3.07,3.2,29.0,37.0,,9.8,7.75,8.00,6' 0.5'',5' 11.5'',8' 0.5'',180.0,6' 3.5'',7.75,8.0,72.5,71.5,96.5,75.5,shamorie ponds
sg,,jordan__poole__2019,jordan,,poole,2019.0,10.59,3.14,3.27,28.0,35.5,,7.5,8.25,8.50,6' 5.5'',6' 3.5'',8' 3.5'',190.8,6' 6.75'',8.25,8.5,77.5,75.5,99.5,78.75,jordan poole
pf,,jontay__porter__2019,jontay,,porter,2019.0,,,,,,,8.5,8.75,9.50,6' 11'',6' 9.75'',9' 1.5'',210.4,7' 0'',8.75,9.5,83.0,81.75,109.5,84.0,jontay porter
sg,jr,kevin__porter_jr_2019,kevin,,porter,2019.0,10.82,3.03,3.14,27.0,34.0,2.0,5.1,8.75,8.75,6' 5.5'',6' 4'',8' 7'',212.6,6' 9'',8.75,8.75,77.5,76.0,103.0,81.0,kevin porter jr
c,,neemias__queta__2019,neemias,,queta,2019.0,12.04,3.45,3.73,24.0,32.5,1.0,6.3,9.50,11.00,7' 0.25'',6' 10.75'',9' 3.5'',225.8,7' 4.25'',9.5,11.0,84.25,82.75,111.5,88.25,neemias queta
sf,,cameron__reddish__2019,cameron,,reddish,2019.0,,,,,,,4.7,9.00,9.00,6' 8'',6' 6.5'',8' 9.5'',207.8,7' 0.5'',9.0,9.0,80.0,78.5,105.5,84.5,cameron reddish
pf,,naz__reid__2019,naz,,reid,2019.0,12.03,3.76,3.42,26.0,32.5,3.0,14.0,9.50,9.25,6' 9.5'',6' 8.75'',9' 1'',255.8,7' 3.25'',9.5,9.25,81.5,80.75,109.0,87.25,naz reid
pf,,isaiah__roby__2019,isaiah,,roby,2019.0,10.63,3.05,3.25,32.5,35.5,9.0,3.9,9.00,10.50,6' 8.5'',6' 7.25'',8' 10'',214.0,7' 1'',9.0,10.5,80.5,79.25,106.0,85.0,isaiah roby
pf,,luka__samanic__2019,luka,,samanic,2019.0,11.01,3.03,3.27,27.0,38.0,7.0,5.6,8.50,9.00,6' 11'',6' 9.5'',8' 11'',227.2,6' 10.5'',8.5,9.0,83.0,81.5,107.0,82.5,luka samanic
sf,,admiral__schofield__2019,admiral,,schofield,2019.0,10.77,2.87,3.37,30.0,34.0,15.0,6.8,8.75,9.00,6' 5.25'',6' 4'',8' 6.5'',240.6,6' 9.75'',8.75,9.0,77.25,76.0,102.5,81.75,admiral schofield
sf-pf,,marial__shayok__2019,marial,,shayok,2019.0,11.16,3.04,3.37,29.5,36.5,9.0,4.7,8.75,9.25,6' 5.5'',6' 4.5'',8' 7.5'',196.8,7' 0.25'',8.75,9.25,77.5,76.5,103.5,84.25,marial shayok
pf,,simisola__shittu__2019,simisola,,shittu,2019.0,11.85,3.24,3.3,27.0,35.5,11.0,6.2,8.75,8.50,6' 9.5'',6' 8.5'',8' 10'',227.2,7' 1.25'',8.75,8.5,81.5,80.5,106.0,85.25,simisola shittu
,,killian__tillie__2019,killian,,tillie,2019.0,,,,,,,,-,-,,,,,,,,,,,,killian tillie
pf,,pj__washington__2019,pj,,washington,2019.0,,,,,,,8.6,9.00,10.25,6' 8'',6' 6.5'',8' 10.5'',230.4,7' 2.25'',9.0,10.25,80.0,78.5,106.5,86.25,pj washington
pg,,tremont__waters__2019,tremont,,waters,2019.0,10.76,3.11,3.07,30.5,40.5,5.0,6.6,8.00,9.75,5' 10.75'',5' 9.5'',7' 9.5'',172.4,6' 2.25'',8.0,9.75,70.75,69.5,93.5,74.25,tremont waters
sg,,quinndary__weatherspoon__2019,quinndary,,weatherspoon,2019.0,11.57,3.15,3.16,31.0,38.0,,6.1,8.50,9.00,6' 4.25'',6' 3'',8' 4'',206.6,6' 9'',8.5,9.0,76.25,75.0,100.0,81.0,quinndary weatherspoon
pg,,coby__white__2019,coby,,white,2019.0,,,,,,,4.3,7.75,9.00,6' 4.75'',6' 3.5'',8' 1.5'',191.4,6' 5'',7.75,9.0,76.75,75.5,97.5,77.0,coby white
sf,,kris__wilkes__2019,kris,,wilkes,2019.0,10.39,3.09,3.34,27.5,35.0,4.0,4.9,8.50,9.50,6' 7.75'',6' 6.25'',8' 7'',208.8,6' 10.75'',8.5,9.5,79.75,78.25,103.0,82.75,kris wilkes
pf,,grant__williams__2019,grant,,williams,2019.0,10.83,3.27,3.33,26.0,31.5,20.0,5.4,9.00,10.50,6' 7.5'',6' 5.75'',8' 8.5'',240.2,6' 9.75'',9.0,10.5,79.5,77.75,104.5,81.75,grant williams
pf,,zion__williamson__2019,zion,,williamson,2019.0,,,,,,,,-,-,,,,,,,,,,,,zion williamson
sf,,dylan__windler__2019,dylan,,windler,2019.0,10.7,2.94,3.3,29.0,37.5,8.0,4.6,8.25,9.50,6' 7.5'',6' 6.25'',8' 8.5'',195.8,6' 10'',8.25,9.5,79.5,78.25,104.5,82.0,dylan windler
sg,,rawle__alkins__2018,rawle,,alkins,2018.0,11.5,3.09,3.15,32.5,40.5,10.0,8.9,8.50,10.00,6' 4.25'',6' 2.75'',8' 3'',217.4,6' 8.75'',8.5,10.0,76.25,74.75,99.0,80.75,rawle alkins
sg,,grayson__allen__2018,grayson,,allen,2018.0,10.31,3.04,3.15,32.5,40.5,,5.55,8.25,10.00,6' 4.5'',6' 3'',8' 1'',198.0,6' 7.25'',8.25,10.0,76.5,75.0,97.0,79.25,grayson allen
pf,,kostas__antetokounmpo__2018,kostas,,antetokounmpo,2018.0,12.48,3.48,3.21,29.5,35.0,,5.0,9.25,9.50,6' 10.5'',6' 9'',9' 2'',194.8,7' 2.25'',9.25,9.5,82.5,81.0,110.0,86.25,kostas antetokounmpo
c,,udoka__azubuike__2018,udoka,,azubuike,2018.0,12.97,3.65,3.12,31.0,31.5,11.0,7.95,9.50,10.00,7' 0.25'',6' 10'',9' 4.5'',273.8,7' 7'',9.5,10.0,84.25,82.0,112.5,91.0,udoka azubuike
c,,mohamed__bamba__2018,mohamed,,bamba,2018.0,,,,,,,6.2,9.75,10.25,7' 0.75'',6' 11.25'',9' 7.5'',225.6,7' 10'',9.75,10.25,84.75,83.25,115.5,94.0,mohamed bamba
pg-sg,,jaylen__barford__2018,jaylen,,barford,2018.0,11.39,3.21,3.31,27.0,33.0,7.0,11.65,8.00,8.25,6' 2.25'',6' 1.25'',8' 0.5'',207.6,6' 3.5'',8.0,8.25,74.25,73.25,96.5,75.5,jaylen barford
sg-sf,,keita__bates-diop__2018,keita,,bates-diop,2018.0,11.2,3.28,3.17,30.5,35.0,11.0,5.35,9.00,8.50,6' 8.5'',6' 7.25'',8' 10.5'',223.8,7' 3.25'',9.0,8.5,80.5,79.25,106.5,87.25,keita bates-diop
sg,,tyus__battle__2018,tyus,,battle,2018.0,11.04,2.87,3.07,32.0,37.5,9.0,4.0,8.50,9.25,6' 6.75'',6' 5'',8' 6'',200.2,6' 9'',8.5,9.25,78.75,77.0,102.0,81.0,tyus battle
sg-sf,,brian__bowen__2018,brian,,bowen,2018.0,11.58,3.33,3.28,30.5,34.0,,7.6,9.00,10.00,6' 7.5'',6' 6.25'',8' 7.5'',202.0,6' 10.25'',9.0,10.0,79.5,78.25,103.5,82.25,brian bowen
sf,,miles__bridges__2018,miles,,bridges,2018.0,,,,,,,5.9,9.00,9.75,6' 6.75'',6' 5.25'',8' 7.5'',220.4,6' 9.5'',9.0,9.75,78.75,77.25,103.5,81.5,miles bridges
sg-pg,,bruce__brown__2018,bruce,,brown,2018.0,11.11,3.44,3.2,32.5,38.0,17.0,3.75,8.50,8.50,6' 5'',6' 3.5'',8' 2.5'',194.6,6' 9'',8.5,8.5,77.0,75.5,98.5,81.0,bruce brown
sf,,troy__brown__2018,troy,,brown,2018.0,11.51,3.29,3.33,26.0,33.0,5.0,7.05,9.00,9.75,6' 6.75'',6' 5.75'',8' 9'',208.0,6' 10.25'',9.0,9.75,78.75,77.75,105.0,82.25,troy brown
pg,,jalen__brunson__2018,jalen,,brunson,2018.0,10.59,3.11,3.15,29.0,37.0,7.0,6.7,8.25,9.25,6' 2.25'',6' 1'',8' 0'',198.4,6' 4'',8.25,9.25,74.25,73.0,96.0,76.0,jalen brunson
pg,,tony__carr__2018,tony,,carr,2018.0,11.89,3.4,3.17,25.0,31.5,,6.5,8.50,9.75,6' 4.5'',6' 3'',8' 4'',198.8,6' 8.25'',8.5,9.75,76.5,75.0,100.0,80.25,tony carr
pg,,jevon__carter__2018,jevon,,carter,2018.0,11.04,3.05,3.18,29.0,36.5,14.0,4.15,9.25,8.50,6' 1.5'',6' 0.25'',7' 11'',196.2,6' 4.25'',9.25,8.5,73.5,72.25,95.0,76.25,jevon carter
c-pf,,wendell__carter__2018,wendell,,carter,2018.0,,,,,,,7.85,8.50,9.00,6' 10'',6' 8.75'',9' 1'',251.4,7' 4.5'',8.5,9.0,82.0,80.75,109.0,88.5,wendell carter
sg,,donte__divincenzo__2018,donte,,divincenzo,2018.0,10.72,3.12,3.11,34.5,42.0,12.0,5.0,8.25,9.00,6' 4.5'',6' 3.5'',8' 1.5'',200.6,6' 6'',8.25,9.0,76.5,75.5,97.5,78.0,donte divincenzo
sg,,hamidou__diallo__2018,hamidou,,diallo,2018.0,10.53,3.14,3.1,32.5,40.5,1.0,4.45,8.75,9.00,6' 6'',6' 4.25'',8' 7'',197.0,6' 11.5'',8.75,9.0,78.0,76.25,103.0,83.5,hamidou diallo
pg,,trevon__duval__2018,trevon,,duval,2018.0,10.93,3.09,3.18,34.0,41.5,6.0,5.2,8.75,10.00,6' 2.5'',6' 1.5'',8' 1.5'',191.0,6' 8.25'',8.75,10.0,74.5,73.5,97.5,80.25,trevon duval
pg,,carsen__edwards__2018,carsen,,edwards,2018.0,11.59,3.15,3.2,28.5,34.5,12.0,6.3,8.50,9.25,6' 0'',5' 10.75'',7' 10.5'',195.6,6' 6.25'',8.5,9.25,72.0,70.75,94.5,78.25,carsen edwards
pg,,keenan__evans__2018,keenan,,evans,2018.0,,,,,,,6.5,8.50,8.00,6' 3'',6' 1.5'',8' 2'',183.2,6' 5.25'',8.5,8.0,75.0,73.5,98.0,77.25,keenan evans
sg-sf,,jacob__evans__2018,jacob,,evans,2018.0,11.11,3.14,3.2,28.0,35.5,8.0,6.5,9.00,9.25,6' 5.5'',6' 4.25'',8' 6.5'',199.6,6' 9.25'',9.0,9.25,77.5,76.25,102.5,81.25,jacob evans
c,,bruno__fernando__2018,bruno,,fernando,2018.0,12.19,3.03,3.23,29.0,35.0,11.0,5.25,9.50,10.00,6' 9.75'',6' 8.75'',9' 1'',233.2,7' 4.25'',9.5,10.0,81.75,80.75,109.0,88.25,bruno fernando
sf-sg,,melvin__frazier__2018,melvin,,frazier,2018.0,11.24,3.08,3.08,31.0,40.5,,7.9,9.50,9.50,6' 6'',6' 4.5'',8' 9'',198.2,7' 1.75'',9.5,9.5,78.0,76.5,105.0,85.75,melvin frazier
pg,,shai__gilgeous-alexander__2018,shai,,gilgeous-alexander,2018.0,,,,,,,3.0,9.00,9.00,6' 6'',6' 4.5'',8' 8'',180.0,6' 11.5'',9.0,9.0,78.0,76.5,104.0,83.5,shai gilgeous-alexander
pg,,devonte__graham__2018,devonte,,graham,2018.0,11.28,3.15,3.21,31.0,37.0,14.0,4.8,8.50,9.50,6' 1.5'',6' 0.25'',8' 0'',186.4,6' 6.25'',8.5,9.5,73.5,72.25,96.0,78.25,devonte graham
c,,isaac__haas__2018,isaac,,haas,2018.0,,,,,,,12.55,10.00,10.50,7' 2.75'',7' 1.25'',9' 3.5'',303.0,7' 5'',10.0,10.5,86.75,85.25,111.5,89.0,isaac haas
sg,,devon__hall__2018,devon,,hall,2018.0,10.95,3.16,3.27,25.0,31.0,6.0,8.45,8.50,10.00,6' 6'',6' 4.25'',8' 6'',206.4,6' 7.75'',8.5,10.0,78.0,76.25,102.0,79.75,devon hall
pg,,jaylen__hands__2018,jaylen,,hands,2018.0,12.11,3.16,3.13,31.5,39.5,6.0,5.0,8.00,8.00,6' 2.75'',6' 1.5'',8' 2'',179.0,6' 5.5'',8.0,8.0,74.75,73.5,98.0,77.5,jaylen hands
pf,,kevin__hervey__2018,kevin,,hervey,2018.0,11.28,3.15,3.36,27.5,32.0,4.0,5.15,9.25,10.25,6' 7.75'',6' 6.5'',8' 11'',211.6,7' 3.5'',9.25,10.25,79.75,78.5,107.0,87.5,kevin hervey
pg,,aaron__holiday__2018,aaron,,holiday,2018.0,10.96,3.22,3.27,25.5,33.0,,6.4,8.75,8.50,6' 0.75'',5' 11.75'',8' 1'',187.0,6' 7.5'',8.75,8.5,72.75,71.75,97.0,79.5,aaron holiday
sg,,kevin__huerter__2018,kevin,,huerter,2018.0,10.89,2.97,3.09,31.0,38.0,9.0,8.6,8.25,8.50,6' 7.25'',6' 6.25'',8' 5.5'',194.0,6' 7.5'',8.25,8.5,79.25,78.25,101.5,79.5,kevin huerter
pf-c,,jaren__jackson__2018,jaren,,jackson,2018.0,,,,,,,7.2,10.00,10.00,6' 11.25'',6' 9.75'',9' 2'',236.0,7' 5.25'',10.0,10.0,83.25,81.75,110.0,89.25,jaren jackson
pf,,justin__jackson__2018,justin,,jackson,2018.0,,,,,,,8.9,9.00,9.50,6' 6.75'',6' 6'',8' 9'',229.4,7' 3'',9.0,9.5,78.75,78.0,105.0,87.0,justin jackson
pf,,alize__johnson__2018,alize,,johnson,2018.0,11.83,3.28,3.38,25.0,31.0,8.0,8.1,8.50,9.75,6' 8'',6' 7.25'',8' 7'',216.6,6' 8.75'',8.5,9.75,80.0,79.25,103.0,80.75,alize johnson
sf-sg,,george__king__2018,george,,king,2018.0,10.75,3.08,3.29,31.0,39.0,15.0,7.25,9.00,10.25,6' 6'',6' 4.75'',8' 5.5'',218.6,6' 11.5'',9.0,10.25,78.0,76.75,101.5,83.5,george king
sf,,kevin__knox__2018,kevin,,knox,2018.0,,,,,,,4.95,8.75,9.25,6' 9'',6' 7.75'',9' 0'',212.6,6' 11.75'',8.75,9.25,81.0,79.75,108.0,83.75,kevin knox
c,,sagaba__konate__2018,sagaba,,konate,2018.0,12.28,3.36,3.28,31.5,35.0,12.0,7.35,9.25,10.00,6' 7.5'',6' 6.5'',8' 10.5'',246.0,7' 0'',9.25,10.0,79.5,78.5,106.5,84.0,sagaba konate
sf-sg,,caleb__martin__2018,caleb,,martin,2018.0,10.43,2.75,3.26,29.0,36.5,6.0,7.0,8.50,8.75,6' 6'',6' 4.75'',8' 5.5'',195.8,6' 10'',8.5,8.75,78.0,76.75,101.5,82.0,caleb martin
sg-sf,,cody__martin__2018,cody,,martin,2018.0,10.64,3.05,3.09,29.0,36.5,4.0,5.45,8.50,9.00,6' 6'',6' 4.75'',8' 6.5'',188.6,6' 10.25'',8.5,9.0,78.0,76.75,102.5,82.25,cody martin
pf-c,,yante__maten__2018,yante,,maten,2018.0,11.35,3.13,3.17,27.0,31.5,18.0,8.1,9.25,10.00,6' 8.5'',6' 7.25'',8' 11.5'',246.2,7' 0.5'',9.25,10.0,80.5,79.25,107.5,84.5,yante maten
c,,brandon__mccoy__2018,brandon,,mccoy,2018.0,11.77,3.31,3.23,27.5,32.0,9.0,8.7,9.75,9.50,7' 0.5'',6' 11.5'',9' 2.5'',250.4,7' 2'',9.75,9.5,84.5,83.5,110.5,86.0,brandon mccoy
sg-pg,,deanthony__melton__2018,deanthony,,melton,2018.0,11.48,3.33,3.23,31.0,36.5,1.0,5.2,8.50,9.50,6' 3.25'',6' 2.25'',8' 3.5'',193.2,6' 8.5'',8.5,9.5,75.25,74.25,99.5,80.5,deanthony melton
pf-c,,chimezie__metu__2018,chimezie,,metu,2018.0,11.89,3.25,3.33,29.5,36.0,5.0,5.05,9.00,9.25,6' 9.5'',6' 8.5'',9' 0'',219.6,7' 0.5'',9.0,9.25,81.5,80.5,108.0,84.5,chimezie metu
sg-pg,,shake__milton__2018,shake,,milton,2018.0,11.07,3.19,3.25,30.0,33.0,2.0,6.8,8.75,9.50,6' 5.5'',6' 4.5'',8' 3.5'',207.2,7' 0.75'',8.75,9.5,77.5,76.5,99.5,84.75,shake milton
sg-sf,,sviatoslav__mykhailiuk__2018,sviatoslav,,mykhailiuk,2018.0,11.25,3.18,3.15,30.5,37.0,4.0,8.45,8.25,9.50,6' 7.75'',6' 6.5'',8' 4'',211.6,6' 4.75'',8.25,9.5,79.75,78.5,100.0,76.75,sviatoslav mykhailiuk
sg,,malik__newman__2018,malik,,newman,2018.0,10.9,3.18,3.13,27.5,33.5,,6.25,8.50,9.50,6' 3.25'',6' 2.5'',8' 2.5'',189.2,6' 5.5'',8.5,9.5,75.25,74.5,98.5,77.5,malik newman
sg,,josh__okogie__2018,josh,,okogie,2018.0,11.08,3.03,3.04,33.0,42.0,12.0,5.2,9.00,9.75,6' 4.5'',6' 3'',8' 6'',210.8,7' 0'',9.0,9.75,76.5,75.0,102.0,84.0,josh okogie
sg-sf,,theo__pinson__2018,theo,,pinson,2018.0,11.53,3.11,3.22,27.0,34.0,7.0,7.35,9.00,9.00,6' 6.75'',6' 5'',8' 7.5'',211.2,6' 10.75'',9.0,9.0,78.75,77.0,103.5,82.75,theo pinson
