position,height_w_shoes,height_wo_shoes,player_name,body_fat_pct,hand_length,hand_width,standing_reach,weight_lbs,wingspan,height_w_shoes_inches,height_wo_shoes_inches
PG,6'1.25'',6'0.0'',Davion Mitchell,6.2,8.25,8.75,96.5,202.4,76.25,73.25,72.0
PF,,,Evan Mobley,,,,,,,,
PF,6'9.75'',6'8.0'',Isaiah Mobley,12.9,9.0,10.0,107.5,238.0,87.0,81.75,80.0
SG,6'6.0'',6'4.5'',Moses Moody,6.8,9.0,10.0,105.0,210.6,84.75,78.0,76.5
SF,6'9.25'',6'7.5'',Trey Murphy III,8.1,8.5,9.0,105.5,206.0,84.0,81.25,79.5
PG,6'4.25'',6'3.0'',Daishen Nix,11.8,8.5,9.0,100.0,225.6,78.75,76.25,75.0
SG,6'5.75'',6'4.5'',John Petty Jr.,5.6,8.5,9.0,103.5,186.2,81.5,77.75,76.5
PF,6'6.75'',6'5.5'',Yves Pons,4.0,9.0,9.25,104.0,206.4,84.75,78.75,77.5
PG,6'4.0'',6'3.0'',Jason Preston,5.45,8.5,9.25,100.5,180.6,80.5,76.0,75.0
SG,6'5.0'',6'4.0'',Joshua Primo,6.3,9.0,10.0,102.5,189.0,81.25,77.0,76.0
PF,6'9.25'',6'7.5'',Roko Prkacin,7.0,8.75,9.25,107.0,225.4,83.0,81.25,79.5
C,7'0.5'',6'11.25'',Neemias Queta,7.6,9.25,10.5,112.5,248.4,88.0,84.5,83.25
SG,6'5.75'',6'4.5'',Austin Reaves,11.0,8.0,8.25,101.0,197.2,78.25,77.75,76.5
PF,6'9.0'',6'7.75'',Jeremiah Robinson-Earl,8.9,9.0,9.75,105.5,242.4,81.75,81.0,79.75
SF,6'6.5'',6'5.5'',Terrence Shannon Jr.,6.7,8.0,8.0,100.0,206.6,80.25,78.5,77.5
C,,,Day'Ron Sharpe,,,,,,,,
C,6'10.0'',6'9.0'',Jericho Sims,5.5,9.0,9.75,106.0,250.2,87.25,82.0,81.0
SG,6'4.25'',6'3.0'',Jaden Springer,6.3,8.5,9.75,99.0,202.0,79.75,76.25,75.0
PG,6'1.75'',6'0.75'',DJ Steward,5.0,8.5,9.0,98.5,162.2,79.0,73.75,72.75
SG,,,Cam Thomas,,,,,,,,
PF,6'9.25'',6'8.5'',JT Thor,6.1,9.25,9.5,110.0,203.0,87.25,81.25,80.5
PF,6'10.0'',6'8.75'',Isaiah Todd,6.2,9.0,9.75,107.5,219.0,85.25,82.0,80.75
SG,6'3.75'',6'2.25'',Duane Washington Jr.,5.1,8.25,8.75,101.0,196.8,79.75,75.75,74.25
PF,6'8.75'',6'7.5'',Trendon Watford,10.1,9.5,9.5,105.0,237.4,86.25,80.75,79.5
SF,6'7.25'',6'5.75'',Joe Wieskamp,4.1,8.5,9.25,103.0,204.8,83.0,79.25,77.75
SG-SF,6'5.0'',6'4.5'',Aaron Wiggins,5.0,8.75,8.5,103.0,190.0,81.75,77.0,76.5
SF,6'9.75'',6'8.25'',Ziaire Williams,4.4,9.0,8.75,106.5,188.4,82.25,81.75,80.25
PF,6'9.0'',6'7.75'',Moses Wright,5.6,9.0,9.5,107.0,225.8,84.75,81.0,79.75
PG,6'0.25'',5'11.25'',McKinley Wright IV,6.7,8.5,9.0,94.0,192.2,77.25,72.25,71.25
PG,6'2.0'',6'0.75'',Marcus Zegarowski,7.2,8.0,9.5,96.0,180.8,74.75,74.0,72.75
PF,6'8.75'',6'7.50'',Precious Achiuwa,6.7,9.0,10.0,108.5,234.0,84.75,80.75,79.5
SG,6'4.00'',6'2.00'',Ty-Shon Alexander,12.3,8.75,8.75,100.0,200.8,80.0,76.0,74.0
C,6'11.50'',6'10.00'',Udoka Azubuike,9.61,9.25,10.0,109.0,259.5,91.25,83.5,82.0
PF,6'7.00'',6'6.00'',Tyler Bey,5.0,8.5,9.0,105.5,212.8,85.25,79.0,78.0
PF,6'7.00'',6'6.00'',Yoeli Childs,8.2,8.75,10.0,106.0,226.4,83.5,79.0,78.0
PF,6'10.25'',6'8.50'',Mamadi Diakite,7.83,9.0,10.25,107.0,222.1,87.75,82.25,80.5
PG,6'1.75'',6'0.50'',Devon Dotson,4.6,8.25,10.0,95.0,185.2,75.0,73.75,72.5
SF-PF,6'7.50'',6'6.00'',Paul Eboua,3.8,9.0,10.25,108.0,222.2,87.5,79.5,78.0
SG-SF,6'6.25'',6'5.50'',CJ Elleby,4.2,8.75,10.0,100.5,198.6,79.25,78.25,77.5
PG,6'4.75'',6'3.50'',Trent Forrest,5.65,9.0,9.75,102.5,203.0,79.5,76.75,75.5
SG-SF,6'5.50'',6'4.50'',Josh Green,6.8,8.0,8.75,101.5,214.0,81.75,77.5,76.5
PG,6'2.50'',6'1.50'',Ashton Hagans,4.1,9.0,9.0,99.5,193.0,80.0,74.5,73.5
SF,6'7.50'',6'6.00'',Joshua Hall,7.6,8.75,9.5,104.5,196.6,83.0,79.5,78.0
SG,6'4.25'',6'2.75'',Jalen Harris,4.4,8.25,9.5,97.5,193.4,79.0,76.25,74.75
PG,5'11.00'',5'9.50'',Markus Howard,9.91,8.5,7.75,91.5,170.8,72.25,71.0,69.5
SF-SG,6'6.50'',6'4.75'',Elijah Hughes,10.2,8.5,8.75,101.5,229.0,79.5,78.5,76.75
SG,6'4.50'',6'3.00'',Isaiah Joe,4.7,8.25,8.25,101.0,170.4,79.5,76.5,75.0
SG,6'5.75'',6'3.75'',Mason Jones,8.9,8.75,8.5,102.5,207.2,79.0,77.75,75.75
PF-C,6'9.75'',6'8.00'',Nathan Knight,8.2,9.0,9.5,109.5,235.0,86.0,81.75,80.0
PG,6'5.00'',6'4.00'',Theo Maledon,2.8,8.5,10.0,100.5,187.4,80.75,77.0,76.0
PG-SG,6'6.00'',6'5.00'',Karim Mane,3.73,8.5,9.75,102.0,196.0,83.0,78.0,77.0
SF,6'7.00'',6'5.75'',Naji Marshall,8.7,9.25,10.5,102.5,233.5,84.75,79.0,77.75
SF-PF,6'7.00'',6'6.00'',Kenyon Martin Jr.,5.9,8.5,8.75,102.0,213.2,79.25,79.0,78.0
SG,6'4.00'',6'3.00'',Skylar Mays,7.4,8.0,9.75,99.0,204.0,78.0,76.0,75.0
PF-C,6'10.50'',6'9.25'',Zeke Nnaji,5.9,9.0,10.5,105.5,246.8,86.0,82.5,81.25
SF-PF,6'7.00'',6'5.75'',Jordan Nwora,11.68,8.5,9.25,104.0,223.0,82.25,79.0,77.75
PF-C,6'9.25'',6'8.25'',Reggie Perry,8.4,9.25,11.0,106.5,249.6,84.25,81.25,80.25
PG-SG,6'1.50'',6'0.50'',Myles Powell,15.8,8.0,9.0,99.0,194.0,79.0,73.5,72.5
SG,6'3.00'',6'2.00'',Immanuel Quickley,8.2,8.0,8.75,99.0,185.8,80.25,75.0,74.0
SG,6'3.75'',6'2.50'',Jahmi'us Ramsey,3.4,8.75,9.75,100.5,193.4,78.0,75.75,74.5
PF,6'9.25'',6'8.50'',Paul Reed Jr.,6.83,9.0,8.75,109.5,219.2,86.0,81.25,80.5
C,6'11.50'',6'10.50'',Nick Richards,8.5,9.0,9.0,110.0,241.6,86.25,83.5,82.5
PG-SG,6'1.00'',6'0.25'',Grant Riller,5.4,8.0,8.5,96.5,178.4,77.25,73.0,72.25
SG-SF,6'6.25'',6'5.00'',Jayden Scrubb,3.7,8.25,9.75,104.5,185.2,81.5,78.25,77.0
PF-C,6'10.25'',6'9.25'',Jalen Smith,3.7,9.25,9.25,110.0,224.6,86.25,82.25,81.25
SG,6'6.25'',6'5.00'',Cassius Stanley,5.8,8.25,9.0,99.5,201.6,79.0,78.25,77.0
SF-PF,6'6.75'',6'5.75'',Lamar Stevens,6.8,8.5,9.75,101.0,228.0,81.0,78.75,77.75
C,6'8.50'',6'7.25'',Isaiah Stewart,7.5,9.0,10.5,108.5,243.0,88.75,80.5,79.25
PG,6'3.00'',6'1.50'',Tyrell Terry,7.6,7.5,8.25,96.0,170.0,73.75,75.0,73.5
PF,6'10.00'',6'8.75'',Killian Tillie,12.43,8.25,9.25,106.0,221.6,80.0,82.0,80.75
PF-C,6'8.50'',6'7.50'',Xavier Tillman Sr.,8.5,10.25,11.0,106.0,266.5,86.0,80.5,79.5
C,6'10.25'',6'9.25'',Kaleb Wesson,12.5,9.0,10.75,111.5,252.6,87.5,82.25,81.25
SF,6'7.00'',6'5.50'',Kahlil Whitney,5.3,9.25,10.25,105.5,205.0,84.25,79.0,77.5
PG,6'1.50'',6'0.50'',Cassius Winston,9.0,8.75,8.25,97.0,196.0,78.0,73.5,72.5
SF,6'7.00'',6'5.50'',Robert Woodard II,4.5,9.0,10.75,105.5,230.2,86.0,79.0,77.5
SG,6' 5.5'',6' 4.25'',Nickeil Alexander-Walker,5.9,8.5,8.75,102.0,203.8,81.5,77.5,76.25
SF,,,RJ Barrett,,,,,,,,
C,6' 10'',6' 8.75'',Charles Bassey,8.5,9.25,9.5,109.5,239.0,87.5,82.0,80.75
PF,6' 9'',6' 7.75'',Darius Bazley,3.6,9.0,9.75,107.0,208.4,84.0,81.0,79.75
C,7' 2.5'',7' 0.75'',Bol Bol,7.1,9.25,9.5,115.5,208.0,91.0,86.5,84.75
SG,6' 2.75'',6' 1.5'',Jordan Bone,5.0,7.5,9.25,95.0,179.0,75.25,74.75,73.5
SF,6' 7.5'',6' 6.25'',Brian Bowen II,6.5,8.5,9.75,103.0,200.0,82.0,79.5,78.25
PG,6' 2.25'',6' 1'',Ky Bowman,4.9,8.25,9.0,98.0,181.2,79.0,74.25,73.0
SF,6' 7.25'',6' 5.75'',Ignas Brazdeikis,6.0,8.75,9.5,102.0,220.8,81.25,79.25,77.75
SF-PF,6' 8'',6' 7'',O'Shae Brissett,2.9,9.0,9.5,104.0,203.2,84.0,80.0,79.0
C,7' 2.5'',7' 1.25'',Moses Brown,7.8,9.5,10.25,113.0,237.2,88.75,86.5,85.25
SF,6' 8.25'',6' 7.25'',Brandon Clarke,4.9,8.25,9.5,102.0,207.2,80.25,80.25,79.25
C,6' 11.75'',6' 10'',Nicolas Claxton,4.5,9.25,9.5,110.0,216.6,86.5,83.75,82.0
PF,6' 8.75'',6' 7.25'',Tyler Cook,6.1,9.5,10.75,106.5,245.4,84.5,80.75,79.25
SG,6' 6.75'',6' 5.25'',Jarrett Culver,5.0,8.25,8.5,100.5,194.2,81.5,78.75,77.25
SG,6' 4.5'',6' 3'',Terence Davis,4.1,9.25,10.75,101.0,192.4,80.75,76.5,75.0
PG,6' 4.25'',6' 2.75'',Luguentz Dort,5.0,8.5,9.0,99.5,222.2,80.5,76.25,74.75
PG,6' 2'',6' 0'',Devon Dotson,5.9,8.25,9.5,95.5,178.6,75.25,74.0,72.0
PG,6' 0.25'',5' 10.75'',Carsen Edwards,5.5,8.75,9.0,94.5,199.4,78.0,72.25,70.75
C,7' 7'',7' 5.25'',Tacko Fall,6.8,10.5,10.5,122.5,288.8,98.25,91.0,89.25
C,6' 10.25'',6' 8.75'',Bruno Fernando,5.4,9.25,10.0,110.0,237.0,87.25,82.25,80.75
PF,6' 10.5'',6' 9.25'',Daniel Gafford,5.9,9.25,9.25,110.0,237.6,86.25,82.5,81.25
PG,,,Darius Garland,,,,,,,,
SG,6' 5.25'',6' 4'',Quentin Grimes,8.4,8.25,10.0,100.5,209.6,79.75,77.25,76.0
SG,6' 2.25'',6' 0.75'',Kyle Guy,5.7,8.0,8.75,95.5,167.8,76.5,74.25,72.75
PG,6' 3'',6' 1.5'',Jaylen Hands,5.1,8.0,8.25,97.0,180.4,77.5,75.0,73.5
PG,5' 11'',5' 9.75'',Jared Harper,3.9,8.25,9.5,94.0,169.2,77.5,71.0,69.75
PF,6' 11.5'',6' 10.25'',Jaxson Hayes,5.0,9.25,10.5,110.5,218.6,87.5,83.5,82.25
C,6' 10.25'',6' 9'',Dewan Hernandez,6.1,9.5,10.25,107.0,232.8,85.75,82.25,81.0
SG,6' 6'',6' 4.5'',Tyler Herro,7.1,8.0,8.75,100.5,192.4,75.25,78.0,76.5
PF,6' 9'',6' 7.25'',Jalen Hoard,6.7,8.75,9.75,105.5,212.6,84.75,81.0,79.25
SG,6' 4'',6' 2.5'',Talen Horton-Tucker,8.4,9.5,9.75,103.0,235.4,85.25,76.0,74.5
,,,De'Andre Hunter,,,,,,,,
SF-PF,6' 5'',6' 4'',DaQuan Jeffries,3.9,9.5,10.25,104.0,215.6,83.25,77.0,76.0
PG,6' 5.5'',6' 4.25'',Ty Jerome,6.5,8.25,9.5,98.0,194.4,76.0,77.5,76.25
SG,6' 6'',6' 4.75'',Keldon Johnson,5.6,8.0,9.25,104.0,216.4,81.25,78.0,76.75
SG,6' 8.5'',6' 7'',Cameron Johnson,5.8,8.0,8.5,103.0,205.2,82.0,80.5,79.0
PF,6' 10.25'',6' 8.75'',Mfiondu Kabengele,5.1,9.25,10.75,109.5,256.2,87.0,82.25,80.75
SF,6' 8'',6' 6.75'',Louis King,4.8,8.0,8.5,104.5,195.2,84.25,80.0,78.75
SG,6' 6'',6' 4.5'',Romeo Langford,,9.0,9.0,103.0,,83.0,78.0,76.5
PF,6' 8.5'',6' 7'',Dedric Lawson,8.9,9.75,9.75,107.5,233.0,86.25,80.5,79.0
PG,6' 4.25'',6' 2.5'',Jalen Lecque,4.0,8.75,8.5,98.5,185.2,80.5,76.25,74.5
SF,6' 6'',6' 4.5'',Nassir Little,5.9,8.75,10.0,104.5,224.2,85.25,78.0,76.5
SG-SF,6' 6.5'',6' 4.75'',Terance Mann,4.0,9.5,9.25,101.0,204.6,79.75,78.5,76.75
PG-SG,6' 5.5'',6' 4.75'',Cody Martin,5.0,8.25,9.0,102.5,192.2,82.25,77.5,76.75
SG,6' 6.25'',6' 5'',Charles Matthews,3.8,8.5,8.75,103.0,194.8,81.5,78.25,77.0
SF,6' 9.75'',6' 8.25'',Jalen McDaniels,5.7,9.0,10.0,105.5,191.6,84.25,81.75,80.25
PG,,,Ja Morant,,,,,,,,
SG,6' 5.5'',6' 4.5'',Zach Norvell Jr.,7.5,8.5,9.5,101.0,206.4,78.0,77.5,76.5
SG,6' 4.25'',6' 3.25'',Jaylen Nowell,6.1,8.25,8.5,98.0,202.4,79.25,76.25,75.25
PF,6' 7.5'',6' 5.75'',Jordan Nwora,7.8,8.5,9.25,103.0,220.0,82.5,79.5,77.75
,,,Chuma Okeke,,,,,,,,
SF,6' 9.5'',6' 7.25'',KZ Okpala,4.6,9.25,9.25,106.5,209.6,85.75,81.5,79.25
SG,6' 5.75'',6' 4.25'',Miye Oni,4.9,9.0,10.0,100.5,205.6,82.75,77.75,76.25
SF,6' 7.25'',6' 6'',Eric Paschall,6.3,9.0,9.5,103.5,254.4,83.75,79.25,78.0
SF-PF,6' 9.25'',6' 8'',Reggie Perry,6.7,9.0,10.0,106.0,250.8,84.5,81.25,80.0
PG,6' 0.5'',5' 11.5'',Shamorie Ponds,9.8,7.75,8.0,96.5,180.0,75.5,72.5,71.5
SG,6' 5.5'',6' 3.5'',Jordan Poole,7.5,8.25,8.5,99.5,190.8,78.75,77.5,75.5
PF,6' 11'',6' 9.75'',Jontay Porter,8.5,8.75,9.5,109.5,210.4,84.0,83.0,81.75
SG,6' 5.5'',6' 4'',Kevin Porter Jr.,5.1,8.75,8.75,103.0,212.6,81.0,77.5,76.0
C,7' 0.25'',6' 10.75'',Neemias Queta,6.3,9.5,11.0,111.5,225.8,88.25,84.25,82.75
SF,6' 8'',6' 6.5'',Cameron Reddish,4.7,9.0,9.0,105.5,207.8,84.5,80.0,78.5
PF,6' 9.5'',6' 8.75'',Naz Reid,14.0,9.5,9.25,109.0,255.8,87.25,81.5,80.75
PF,6' 8.5'',6' 7.25'',Isaiah Roby,3.9,9.0,10.5,106.0,214.0,85.0,80.5,79.25
PF,6' 11'',6' 9.5'',Luka Samanic,5.6,8.5,9.0,107.0,227.2,82.5,83.0,81.5
SF,6' 5.25'',6' 4'',Admiral Schofield,6.8,8.75,9.0,102.5,240.6,81.75,77.25,76.0
SF-PF,6' 5.5'',6' 4.5'',Marial Shayok,4.7,8.75,9.25,103.5,196.8,84.25,77.5,76.5
PF,6' 9.5'',6' 8.5'',Simisola Shittu,6.2,8.75,8.5,106.0,227.2,85.25,81.5,80.5
,,,Killian Tillie,,,,,,,,
PF,6' 8'',6' 6.5'',P.J. Washington,8.6,9.0,10.25,106.5,230.4,86.25,80.0,78.5
PG,5' 10.75'',5' 9.5'',Tremont Waters,6.6,8.0,9.75,93.5,172.4,74.25,70.75,69.5
SG,6' 4.25'',6' 3'',Quinndary Weatherspoon,6.1,8.5,9.0,100.0,206.6,81.0,76.25,75.0
PG,6' 4.75'',6' 3.5'',Coby White,4.3,7.75,9.0,97.5,191.4,77.0,76.75,75.5
SF,6' 7.75'',6' 6.25'',Kris Wilkes,4.9,8.5,9.5,103.0,208.8,82.75,79.75,78.25
PF,6' 7.5'',6' 5.75'',Grant Williams,5.4,9.0,10.5,104.5,240.2,81.75,79.5,77.75
PF,,,Zion Williamson,,,,,,,,
SF,6' 7.5'',6' 6.25'',Dylan Windler,4.6,8.25,9.5,104.5,195.8,82.0,79.5,78.25
SG,6' 4.25'',6' 2.75'',Rawle Alkins,8.9,8.5,10.0,99.0,217.4,80.75,76.25,74.75
SG,6' 4.5'',6' 3'',Grayson Allen,5.55,8.25,10.0,97.0,198.0,79.25,76.5,75.0
PF,6' 10.5'',6' 9'',Kostas Antetokounmpo,5.0,9.25,9.5,110.0,194.8,86.25,82.5,81.0
C,7' 0.25'',6' 10'',Udoka Azubuike,7.95,9.5,10.0,112.5,273.8,91.0,84.25,82.0
C,7' 0.75'',6' 11.25'',Mohamed Bamba,6.2,9.75,10.25,115.5,225.6,94.0,84.75,83.25
PG-SG,6' 2.25'',6' 1.25'',Jaylen Barford,11.65,8.0,8.25,96.5,207.6,75.5,74.25,73.25
SG-SF,6' 8.5'',6' 7.25'',Keita Bates-Diop,5.35,9.0,8.5,106.5,223.8,87.25,80.5,79.25
SG,6' 6.75'',6' 5'',Tyus Battle,4.0,8.5,9.25,102.0,200.2,81.0,78.75,77.0
SG-SF,6' 7.5'',6' 6.25'',Brian Bowen,7.6,9.0,10.0,103.5,202.0,82.25,79.5,78.25
SF,6' 6.75'',6' 5.25'',Miles Bridges,5.9,9.0,9.75,103.5,220.4,81.5,78.75,77.25
SG-PG,6' 5'',6' 3.5'',Bruce Brown,3.75,8.5,8.5,98.5,194.6,81.0,77.0,75.5
SF,6' 6.75'',6' 5.75'',Troy Brown,7.05,9.0,9.75,105.0,208.0,82.25,78.75,77.75
PG,6' 2.25'',6' 1'',Jalen Brunson,6.7,8.25,9.25,96.0,198.4,76.0,74.25,73.0
PG,6' 4.5'',6' 3'',Tony Carr,6.5,8.5,9.75,100.0,198.8,80.25,76.5,75.0
PG,6' 1.5'',6' 0.25'',Jevon Carter,4.15,9.25,8.5,95.0,196.2,76.25,73.5,72.25
C-PF,6' 10'',6' 8.75'',Wendell Carter,7.85,8.5,9.0,109.0,251.4,88.5,82.0,80.75
SG,6' 4.5'',6' 3.5'',Donte DiVincenzo,5.0,8.25,9.0,97.5,200.6,78.0,76.5,75.5
SG,6' 6'',6' 4.25'',Hamidou Diallo,4.45,8.75,9.0,103.0,197.0,83.5,78.0,76.25
PG,6' 2.5'',6' 1.5'',Trevon Duval,5.2,8.75,10.0,97.5,191.0,80.25,74.5,73.5
PG,6' 0'',5' 10.75'',Carsen Edwards,6.3,8.5,9.25,94.5,195.6,78.25,72.0,70.75
PG,6' 3'',6' 1.5'',Keenan Evans,6.5,8.5,8.0,98.0,183.2,77.25,75.0,73.5
SG-SF,6' 5.5'',6' 4.25'',Jacob Evans,6.5,9.0,9.25,102.5,199.6,81.25,77.5,76.25
C,6' 9.75'',6' 8.75'',Bruno Fernando,5.25,9.5,10.0,109.0,233.2,88.25,81.75,80.75
SF-SG,6' 6'',6' 4.5'',Melvin Frazier,7.9,9.5,9.5,105.0,198.2,85.75,78.0,76.5
PG,6' 6'',6' 4.5'',Shai Gilgeous-Alexander,3.0,9.0,9.0,104.0,180.0,83.5,78.0,76.5
PG,6' 1.5'',6' 0.25'',Devonte Graham,4.8,8.5,9.5,96.0,186.4,78.25,73.5,72.25
C,7' 2.75'',7' 1.25'',Isaac Haas,12.55,10.0,10.5,111.5,303.0,89.0,86.75,85.25
SG,6' 6'',6' 4.25'',Devon Hall,8.45,8.5,10.0,102.0,206.4,79.75,78.0,76.25
PG,6' 2.75'',6' 1.5'',Jaylen Hands,5.0,8.0,8.0,98.0,179.0,77.5,74.75,73.5
PF,6' 7.75'',6' 6.5'',Kevin Hervey,5.15,9.25,10.25,107.0,211.6,87.5,79.75,78.5
PG,6' 0.75'',5' 11.75'',Aaron Holiday,6.4,8.75,8.5,97.0,187.0,79.5,72.75,71.75
SG,6' 7.25'',6' 6.25'',Kevin Huerter,8.6,8.25,8.5,101.5,194.0,79.5,79.25,78.25
PF-C,6' 11.25'',6' 9.75'',Jaren Jackson,7.2,10.0,10.0,110.0,236.0,89.25,83.25,81.75
PF,6' 6.75'',6' 6'',Justin Jackson,8.9,9.0,9.5,105.0,229.4,87.0,78.75,78.0
PF,6' 8'',6' 7.25'',Alize Johnson,8.1,8.5,9.75,103.0,216.6,80.75,80.0,79.25
SF-SG,6' 6'',6' 4.75'',George King,7.25,9.0,10.25,101.5,218.6,83.5,78.0,76.75
SF,6' 9'',6' 7.75'',Kevin Knox,4.95,8.75,9.25,108.0,212.6,83.75,81.0,79.75
C,6' 7.5'',6' 6.5'',Sagaba Konate,7.35,9.25,10.0,106.5,246.0,84.0,79.5,78.5
SF-SG,6' 6'',6' 4.75'',Caleb Martin,7.0,8.5,8.75,101.5,195.8,82.0,78.0,76.75
SG-SF,6' 6'',6' 4.75'',Cody Martin,5.45,8.5,9.0,102.5,188.6,82.25,78.0,76.75
PF-C,6' 8.5'',6' 7.25'',Yante Maten,8.1,9.25,10.0,107.5,246.2,84.5,80.5,79.25
C,7' 0.5'',6' 11.5'',Brandon McCoy,8.7,9.75,9.5,110.5,250.4,86.0,84.5,83.5
SG-PG,6' 3.25'',6' 2.25'',DeAnthony Melton,5.2,8.5,9.5,99.5,193.2,80.5,75.25,74.25
PF-C,6' 9.5'',6' 8.5'',Chimezie Metu,5.05,9.0,9.25,108.0,219.6,84.5,81.5,80.5
SG-PG,6' 5.5'',6' 4.5'',Shake Milton,6.8,8.75,9.5,99.5,207.2,84.75,77.5,76.5
SG-SF,6' 7.75'',6' 6.5'',Sviatoslav Mykhailiuk,8.45,8.25,9.5,100.0,211.6,76.75,79.75,78.5
SG,6' 3.25'',6' 2.5'',Malik Newman,6.25,8.5,9.5,98.5,189.2,77.5,75.25,74.5
SG,6' 4.5'',6' 3'',Josh Okogie,5.2,9.0,9.75,102.0,210.8,84.0,76.5,75.0
SG-SF,6' 6.75'',6' 5'',Theo Pinson,7.35,9.0,9.0,103.5,211.2,82.75,78.75,77.0
C-PF,6' 11.5'',6' 10'',Jontay Porter,13.85,8.75,9.5,109.0,236.0,84.25,83.5,82.0
SF-PF,6' 10.75'',6' 9.5'',Michael Porter,6.4,8.75,9.25,108.5,211.0,84.25,82.75,81.5
PF,6' 10.5'',6' 8.75'',Billy Preston,5.45,9.25,9.5,108.0,222.4,86.0,82.5,80.75
SG,6' 5'',6' 4'',Jerome Robinson,6.05,9.0,10.0,98.0,188.4,79.25,77.0,76.0
PG,6' 1.5'',6' 0.5'',Collin Sexton,5.6,8.25,8.5,98.5,183.0,79.25,73.5,72.5
PG,6' 5.25'',6' 4'',Landry Shamet,4.85,8.0,9.0,100.0,188.6,78.75,77.25,76.0
SG-PG,6' 3.25'',6' 2.25'',Anfernee Simons,7.7,8.75,9.0,99.5,183.2,81.25,75.25,74.25
SF-SG,6' 4'',6' 2.75'',Zhaire Smith,6.05,8.75,8.25,100.0,198.6,81.75,76.0,74.75
PF,6' 10.25'',6' 9'',Ray Spalding,5.55,9.25,9.0,109.0,215.4,88.75,82.25,81.0
PF-C,6' 9.25'',6' 8'',Omari Spellman,13.75,9.0,9.0,107.5,253.8,86.0,81.25,80.0
SG,6' 3.75'',6' 2.5'',Khyri Thomas,6.4,8.75,9.25,101.0,198.8,82.5,75.75,74.5
SG,6' 5.75'',6' 4.25'',Gary Trent,7.0,8.5,9.5,98.0,204.2,80.75,77.75,76.25
SG,6' 5.25'',6' 3.75'',Allonzo Trier,4.95,8.25,10.5,98.0,198.0,78.75,77.25,75.75
C-PF,6' 11.5'',6' 10.5'',Moritz Wagner,6.75,9.0,10.75,108.0,241.4,84.0,83.5,82.5
SG,6' 4.5'',6' 3.75'',Lonnie Walker,5.65,9.0,9.5,99.5,196.2,82.25,76.5,75.75
PF,6' 8'',6' 6.5'',PJ Washington,6.85,9.0,10.25,107.0,223.0,86.5,80.0,78.5
C,6' 10'',6' 8.25'',Austin Wiley,5.0,9.75,10.25,111.0,249.4,89.0,82.0,80.25
SF,6' 7.5'',6' 6.5'',Kris Wilkes,5.15,8.75,9.25,103.5,205.0,82.25,79.5,78.5
SF,6' 7.5'',6' 6'',Kenrich Williams,5.95,8.5,9.75,103.5,200.4,79.25,79.5,78.0
PG,6' 1.75'',6' 0.5'',Trae Young,5.35,8.0,9.25,95.5,177.8,75.0,73.75,72.5
PF-C,6' 9.75'',6' 8.75'',Edrice Adebayo,5.2,9.5,8.75,108.0,242.6,86.75,81.75,80.75
SG-SF,6' 3.75'',6' 2.5'',Rawle Alkins,11.0,8.75,10.0,99.0,222.6,80.75,75.75,74.5
C,6' 10.25'',6' 9'',Jarrett Allen,7.4,9.5,10.5,109.5,233.6,89.25,82.25,81.0
PG,6' 2.25'',6' 1'',Kadeem Allen,6.4,8.5,8.75,99.5,192.4,81.25,74.25,73.0
C,6' 9.75'',6' 8.5'',Ike Anigbogu,5.4,9.5,10.0,110.5,252.2,90.25,81.75,80.5
SF,6' 7.75'',6' 6.25'',OG Anunoby,6.8,9.25,9.5,107.5,232.4,86.25,79.75,78.25
SG-SF,6' 6.75'',6' 5.5'',Jamel Artis,11.9,9.25,9.75,105.0,213.2,82.0,78.75,77.5
SG-SF,6' 6.25'',6' 4.75'',Dwayne Bacon,7.9,8.75,10.0,103.5,221.6,82.0,78.25,76.75
SG-SF,6' 8'',6' 6.25'',V.J. Beachem,6.8,8.5,9.0,104.5,193.4,82.25,80.0,78.25
PF,6' 8.5'',6' 7'',Jordan Bell,5.4,9.25,9.5,104.5,223.6,83.75,80.5,79.0
SF,6' 6.75'',6' 5.75'',Jaron Blossomgame,5.7,8.75,10.25,104.5,218.6,82.0,78.75,77.75
PF,6' 9.5'',6' 8'',Chris Boucher,5.4,9.25,10.5,110.5,182.2,88.0,81.5,80.0
C,6' 10.75'',6' 9.25'',Tony Bradley,12.0,9.5,9.5,112.5,248.8,89.0,82.75,81.25
PG,6' 2.75'',6' 1.25'',Isaiah Briscoe,11.0,9.0,9.25,99.5,222.4,81.0,74.75,73.25
SG-SF,6' 6'',6' 5'',Dillon Brooks,7.5,8.25,9.25,100.5,220.2,78.0,78.0,77.0
PF-C,6' 10.75'',6' 9.5'',Thomas Bryant,9.4,9.5,10.25,112.5,247.8,90.0,82.75,81.5
PF-C,7' 0'',6' 10.25'',Zach Collins,8.9,8.75,9.25,111.0,232.2,85.0,84.0,82.25
PF,6' 9.5'',6' 8.25'',John Collins,5.4,9.0,10.0,106.5,225.2,83.25,81.5,80.25
SG-SF,6' 5'',6' 3.75'',Hamidou Diallo,5.2,8.5,9.5,101.5,197.4,83.25,77.0,75.75
SG,6' 4.5'',6' 3'',Tyler Dorsey,4.7,8.5,9.25,99.5,182.6,77.25,76.5,75.0
SG-SF,6' 5.5'',6' 4.5'',Damyean Dotson,5.3,8.5,9.25,100.0,205.2,81.0,77.5,76.5
